ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12945352,JF525770,12/28/2022 10:25:00 PM,011XX S STATE ST,0440,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, NO / MINOR INJURY",CTA TRAIN,false,false,0123,001,4,32,08B,1176517,1895340,2022,11/15/2023 03:41:31 PM,41.868165405,-87.62743954,"(41.868165405, -87.62743954)"
12935389,JF525734,12/28/2022 09:20:00 PM,038XX S ASHLAND AVE,0560,ASSAULT,SIMPLE,CTA BUS,false,false,0912,009,11,59,08A,1166286,1879086,2022,01/04/2023 03:41:19 PM,41.823787601,-87.665463404,"(41.823787601, -87.665463404)"
12935203,JF525614,12/28/2022 06:05:00 PM,001XX N WELLS ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,CTA STATION,true,false,0122,001,42,32,11,1174700,1901636,2022,01/04/2023 03:41:19 PM,41.88548283,-87.633921684,"(41.88548283, -87.633921684)"
12934801,JF525116,12/28/2022 11:40:00 AM,004XX S RACINE AVE,2022,NARCOTICS,POSSESS - COCAINE,CTA TRAIN,true,false,1231,012,28,28,18,1168451,1897951,2022,01/04/2023 03:41:19 PM,41.875508384,-87.656975687,"(41.875508384, -87.656975687)"
12934839,JF525024,12/28/2022 10:37:00 AM,075XX N PAULINA ST,0484,BATTERY,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",CTA TRAIN,false,false,2422,024,49,1,08B,1163690,1950023,2022,01/04/2023 03:41:19 PM,42.018498254,-87.672983233,"(42.018498254, -87.672983233)"
12935129,JF525207,12/28/2022 07:00:00 AM,005XX S PULASKI RD,0820,THEFT,$500 AND UNDER,CTA TRAIN,false,false,1132,011,24,26,06,1149812,1897228,2022,01/04/2023 03:41:19 PM,41.873907046,-87.725430093,"(41.873907046, -87.725430093)"
12937215,JF527589,12/27/2022 08:00:00 PM,004XX N RUSH ST,0810,THEFT,OVER $500,CTA PARKING LOT / GARAGE / OTHER PROPERTY,false,false,1834,018,42,8,06,1177025,1903424,2022,01/03/2023 03:43:46 PM,41.890336879,-87.625329768,"(41.890336879, -87.625329768)"
12940801,JF523874,12/27/2022 10:15:00 AM,010XX W LAKE ST,0320,ROBBERY,STRONG ARM - NO WEAPON,CTA TRAIN,false,false,1214,012,27,28,03,1169659,1901630,2022,11/15/2023 03:41:31 PM,41.885577616,-87.65243323,"(41.885577616, -87.65243323)"
12933769,JF523700,12/27/2022 05:30:00 AM,039XX W CHICAGO AVE,031A,ROBBERY,ARMED - HANDGUN,CTA BUS STOP,false,false,1112,011,37,23,03,1149760,1905050,2022,01/03/2023 03:43:46 PM,41.895372477,-87.72541757,"(41.895372477, -87.72541757)"
12933566,JF523620,12/27/2022 01:17:00 AM,001XX N STATE ST,0454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",CTA PLATFORM,true,false,0111,001,42,32,08B,1176330,1901649,2022,01/14/2023 03:40:33 PM,41.885481891,-87.627935689,"(41.885481891, -87.627935689)"
12933883,JF523800,12/27/2022 12:33:00 AM,020XX W FOSTER AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,CTA BUS STOP,false,false,2032,020,40,4,14,1161898,1934530,2022,01/03/2023 03:43:46 PM,41.976022733,-87.680012469,"(41.976022733, -87.680012469)"
12934216,JF524397,12/26/2022 10:30:00 PM,030XX S ASHLAND AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,CTA TRAIN,false,true,0913,009,25,31,08B,1166157,1884604,2022,01/03/2023 03:40:27 PM,41.83893231,-87.665779349,"(41.83893231, -87.665779349)"
12933314,JF523390,12/26/2022 05:00:00 PM,003XX W ILLINOIS ST,0810,THEFT,OVER $500,CTA PARKING LOT / GARAGE / OTHER PROPERTY,false,false,1831,018,42,8,06,1174082,1903553,2022,01/03/2023 03:40:27 PM,41.890756989,-87.636133879,"(41.890756989, -87.636133879)"
12936412,JF526980,12/26/2022 09:00:00 AM,0000X W 95TH ST,0810,THEFT,OVER $500,CTA BUS,false,false,0634,006,21,49,06,1177762,1841949,2022,01/03/2023 03:40:27 PM,41.721627204,-87.624485177,"(41.721627204, -87.624485177)"
12932818,JF522779,12/26/2022 04:53:00 AM,033XX W LAWRENCE AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,CTA PARKING LOT / GARAGE / OTHER PROPERTY,false,false,1713,017,33,14,14,1153017,1931689,2022,01/03/2023 03:40:27 PM,41.968408072,-87.712747145,"(41.968408072, -87.712747145)"
12933647,JF523663,12/26/2022 04:00:00 AM,063XX S RACINE AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,CTA TRAIN,false,false,0724,007,16,67,14,1169407,1862791,2022,01/03/2023 03:40:27 PM,41.779005177,-87.654485701,"(41.779005177, -87.654485701)"
12933198,JF522483,12/25/2022 02:00:00 PM,001XX W LAKE ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,CTA PLATFORM,false,false,0122,001,42,32,04B,1175301,1901735,2022,01/03/2023 03:40:27 PM,41.885741029,-87.631711749,"(41.885741029, -87.631711749)"
12934591,JF522179,12/25/2022 08:30:00 AM,016XX W DIVISION ST,0880,THEFT,PURSE-SNATCHING,CTA TRAIN,false,false,1424,014,1,24,06,1165424,1908071,2022,01/03/2023 03:40:27 PM,41.903343349,-87.667801443,"(41.903343349, -87.667801443)"
12931983,JF521741,12/24/2022 05:04:00 PM,001XX N STATE ST,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,CTA PLATFORM,true,false,0111,001,42,32,14,1176330,1901649,2022,01/03/2023 03:40:27 PM,41.885481891,-87.627935689,"(41.885481891, -87.627935689)"
12931738,JF521303,12/24/2022 03:44:00 AM,005XX N STATE ST,0313,ROBBERY,ARMED - OTHER DANGEROUS WEAPON,CTA PLATFORM,true,false,1834,018,42,8,03,1176278,1903807,2022,10/09/2023 03:40:50 PM,41.891404732,-87.628061509,"(41.891404732, -87.628061509)"
12931458,JF520996,12/23/2022 03:33:00 PM,045XX N BROADWAY,4310,OTHER OFFENSE,POSSESSION OF BURGLARY TOOLS,CTA PARKING LOT / GARAGE / OTHER PROPERTY,true,false,1913,019,46,3,26,1168195,1930423,2022,01/03/2023 03:40:27 PM,41.964618881,-87.656975296,"(41.964618881, -87.656975296)"
12931255,JF520717,12/23/2022 11:00:00 AM,015XX W JARVIS AVE,0460,BATTERY,SIMPLE,CTA TRAIN,false,false,2423,024,49,1,08B,1164799,1949134,2022,01/03/2023 03:40:27 PM,42.016035274,-87.668927703,"(42.016035274, -87.668927703)"
12931330,JF520761,12/23/2022 12:01:00 AM,100XX W OHARE ST,0265,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER,CTA TRAIN,false,false,1651,016,41,76,02,1100658,1934241,2022,01/03/2023 03:40:27 PM,41.976290414,-87.905227221,"(41.976290414, -87.905227221)"
12930980,JF520424,12/22/2022 11:32:00 PM,0000X W 69TH ST,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,CTA PLATFORM,true,false,0731,007,6,69,04A,1177279,1859276,2022,01/03/2023 03:40:27 PM,41.769185486,-87.625732415,"(41.769185486, -87.625732415)"
12931061,JF520460,12/22/2022 10:30:00 PM,007XX S CICERO AVE,0312,ROBBERY,ARMED - KNIFE / CUTTING INSTRUMENT,CTA TRAIN,false,false,1533,015,29,25,03,1144508,1896325,2022,01/03/2023 03:40:27 PM,41.871530533,-87.744926805,"(41.871530533, -87.744926805)"
12930916,JF520362,12/22/2022 09:13:00 PM,0000X E ROOSEVELT RD,0460,BATTERY,SIMPLE,CTA PLATFORM,false,false,0123,001,4,32,08B,1176818,1895074,2022,01/03/2023 03:40:27 PM,41.867428687,-87.626342565,"(41.867428687, -87.626342565)"
12931062,JF520453,12/22/2022 03:30:00 PM,001XX N STATE ST,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,CTA TRAIN,false,false,0111,001,42,32,17,1176330,1901649,2022,01/03/2023 03:40:27 PM,41.885481891,-87.627935689,"(41.885481891, -87.627935689)"
12930639,JF520033,12/22/2022 02:00:00 PM,047XX N KIMBALL AVE,0484,BATTERY,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",CTA STATION,false,false,1713,017,33,14,08B,1152858,1931371,2022,01/03/2023 03:40:27 PM,41.967538619,-87.713340244,"(41.967538619, -87.713340244)"
12930489,JF519903,12/22/2022 11:27:00 AM,011XX S STATE ST,1900,OTHER NARCOTIC VIOLATION,INTOXICATING COMPOUNDS,CTA TRAIN,true,false,0123,001,4,32,18,1176517,1895340,2022,01/03/2023 03:40:27 PM,41.868165405,-87.62743954,"(41.868165405, -87.62743954)"
12930419,JF519824,12/22/2022 11:07:00 AM,012XX S STATE ST,0870,THEFT,POCKET-PICKING,CTA BUS STOP,false,false,0131,001,3,33,06,1176526,1894914,2022,01/03/2023 03:40:27 PM,41.866996231,-87.62741936,"(41.866996231, -87.62741936)"
12930856,JF519933,12/22/2022 10:41:00 AM,077XX N HASKINS AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,CTA TRAIN,false,false,2422,024,49,1,14,1163173,1951318,2022,01/03/2023 03:40:27 PM,42.022062685,-87.67484904,"(42.022062685, -87.67484904)"
12930887,JF520032,12/22/2022 10:05:00 AM,003XX W 100TH PL,0560,ASSAULT,SIMPLE,CTA PARKING LOT / GARAGE / OTHER PROPERTY,false,false,0511,005,9,49,08A,,,2022,12/29/2022 03:41:09 PM,,,
12930625,JF520048,12/22/2022 04:45:00 AM,045XX W DIVERSEY AVE,031A,ROBBERY,ARMED - HANDGUN,CTA BUS STOP,false,false,2521,025,31,20,03,1145821,1918234,2022,01/03/2023 03:40:27 PM,41.931626396,-87.739549467,"(41.931626396, -87.739549467)"
12930130,JF519427,12/22/2022 03:45:00 AM,013XX W MORSE AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,CTA PLATFORM,false,false,2431,024,49,1,03,1165794,1946184,2022,01/03/2023 03:40:27 PM,42.007919177,-87.665351128,"(42.007919177, -87.665351128)"
12930076,JF519381,12/22/2022 01:00:00 AM,0000X W 69TH ST,0820,THEFT,$500 AND UNDER,CTA TRAIN,false,false,0322,003,6,69,06,1177483,1859281,2022,01/03/2023 03:40:27 PM,41.769194599,-87.624984501,"(41.769194599, -87.624984501)"
12930123,JF519393,12/22/2022 01:00:00 AM,034XX N PAULINA ST,501A,OTHER OFFENSE,ANIMAL ABUSE / NEGLECT,CTA PLATFORM,true,true,1922,019,47,6,26,1164380,1922827,2022,01/03/2023 03:40:27 PM,41.943856882,-87.671217752,"(41.943856882, -87.671217752)"
12929902,JF519185,12/21/2022 07:29:00 PM,011XX S STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,CTA STATION,true,false,0123,001,4,32,11,1176517,1895340,2022,01/03/2023 03:40:27 PM,41.868165405,-87.62743954,"(41.868165405, -87.62743954)"
12929883,JF518985,12/21/2022 04:46:00 PM,011XX S STATE ST,0340,ROBBERY,ATTEMPT STRONG ARM - NO WEAPON,CTA STATION,false,false,0123,001,4,32,03,1176517,1895340,2022,01/03/2023 03:40:27 PM,41.868165405,-87.62743954,"(41.868165405, -87.62743954)"
12929657,JF518833,12/21/2022 03:35:00 PM,059XX S COTTAGE GROVE AVE,0460,BATTERY,SIMPLE,CTA BUS,false,false,0235,002,5,41,08B,1182584,1866014,2022,01/03/2023 03:40:27 PM,41.787553774,-87.606078091,"(41.787553774, -87.606078091)"
