station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal
41170,Garfield-Dan Ryan,2/1/22,1232.9,906.8,667.5,30955
40910,63rd-Dan Ryan,2/1/22,1117.3,771.3,688,28183
40990,69th,2/1/22,1812.2,1234.3,961.3,45026
40240,79th,2/1/22,2528.3,1769.3,1440.5,63404
41430,87th,2/1/22,1433.8,900.5,775,35378
40450,95th/Dan Ryan,2/1/22,3553,2110.8,1729.8,86422
41050,Linden,2/1/22,271.3,147.5,114.5,6473
41250,Central-Evanston,2/1/22,352.1,132.3,126.8,8077
40400,Noyes,2/1/22,445.9,338.8,210.3,11114
40520,Foster,2/1/22,361,365.3,221.8,9568
40050,Davis,2/1/22,1284.7,1019,729.8,32689
40690,Dempster,2/1/22,321.9,289.3,223,8487
40270,Main,2/1/22,440.8,322.5,235.5,11048
40840,South Boulevard,2/1/22,289.8,191.5,152,7169
40140,Dempster-Skokie,2/1/22,596.4,320.3,230.3,14129
41680,Oakton-Skokie,2/1/22,371.2,144.3,106.8,8428
40890,O'Hare Airport,2/1/22,4724.3,3907.5,4617.5,128585
40820,Rosemont,2/1/22,2291.9,1538.3,1220.3,56872
40230,Cumberland,2/1/22,1245.8,589.5,472.8,29165
40750,Harlem-O'Hare,2/1/22,1184,513.8,404.5,27353
41280,Jefferson Park,2/1/22,2820,1549.3,1284,67733
41330,Montrose-O'Hare,2/1/22,858.2,478.8,351.8,20485
40550,Irving Park-O'Hare,2/1/22,1512.8,874.8,686.8,36501
41240,Addison-O'Hare,2/1/22,1152.4,547.3,391.8,26804
40060,Belmont-O'Hare,2/1/22,2259.2,1341.3,1017,54617
41020,Logan Square,2/1/22,2657.4,1820.3,1249.3,65425
40570,California/Milwaukee,2/1/22,1929.4,1338.8,929,47658
40670,Western/Milwaukee,2/1/22,1939.2,1343,871.5,47642
40590,Damen/Milwaukee,2/1/22,2201.1,1887.3,1377,57078
40320,Division/Milwaukee,2/1/22,2410.8,1699.8,1139.8,59574
41410,Chicago/Milwaukee,2/1/22,1600,867,622.3,37957
40490,Grand/Milwaukee,2/1/22,1061.2,857.3,656,27277
40370,Washington/Dearborn,2/1/22,4519.3,2913,2345.8,111420
40790,Monroe/Dearborn,2/1/22,2156.1,862.5,640,49131
40070,Jackson/Dearborn,2/1/22,2281.5,1025.8,836.3,53078
41340,LaSalle,2/1/22,1326,672.3,502,31217
40430,Clinton-Forest Park,2/1/22,997.5,530,469.8,23948
40350,UIC-Halsted,2/1/22,3374.2,1056,774,74803
40470,Racine,2/1/22,1046.4,517.5,354,24414
40810,Medical Center,2/1/22,1291,525.5,431.8,29648
40220,Western-Forest Park,2/1/22,685.5,387.8,312.5,16511
40250,Kedzie-Homan-Forest Park,2/1/22,736.8,452.3,372.8,18035
40920,Pulaski-Forest Park,2/1/22,898.2,721.8,636.5,23396
40970,Cicero-Forest Park,2/1/22,535,339.3,265.8,13120
40010,Austin-Forest Park,2/1/22,574.9,259.3,227,13442
40180,Oak Park-Forest Park,2/1/22,486.2,198.5,151.8,11124
40980,Harlem-Forest Park,2/1/22,394.5,207.5,137,9268
40390,Forest Park,2/1/22,1025.7,494.8,404.3,24110
41030,Polk,2/1/22,1704.5,452,353.8,37313
40830,18th,2/1/22,893.2,780,513.8,23039
40210,Damen-Cermak,2/1/22,901.3,543.5,403.3,21812
40740,Western-Cermak,2/1/22,619.1,415.3,277,15150
40440,California-Cermak,2/1/22,763.4,408.5,315.5,18164
41040,Kedzie-Cermak,2/1/22,516.5,332,241.5,12624
40780,Central Park,2/1/22,524.7,328.5,254.8,12826
40150,Pulaski-Cermak,2/1/22,553.7,369.8,293,13725
40600,Kostner,2/1/22,194,108,111.5,4757
40420,Cicero-Cermak,2/1/22,580.5,439.5,337.5,14718
40580,54th/Cermak,2/1/22,1150.8,627.5,473.3,27418
40020,Harlem-Lake,2/1/22,1364.9,871.5,648.5,33378
41350,Oak Park-Lake,2/1/22,470.1,266.8,184.8,11208
40610,Ridgeland,2/1/22,430.3,209.5,147,10032
41260,Austin-Lake,2/1/22,726.8,406.8,345.8,17546
40280,Central-Lake,2/1/22,896.9,555.3,471.8,22045
40700,Laramie,2/1/22,467.3,257.3,231.3,11299
40480,Cicero-Lake,2/1/22,510.1,341.3,275.3,12667
40030,Pulaski-Lake,2/1/22,576.3,409.3,336.8,14509
41670,Conservatory,2/1/22,407.9,423.8,352,11260
41070,Kedzie-Lake,2/1/22,582.2,294.3,264,13876
41360,California-Lake,2/1/22,490.6,231.3,184.3,11473
40170,Ashland-Lake,2/1/22,1137.8,755.8,544.3,27955
41510,Morgan-Lake,2/1/22,1629.1,1655.5,1196,43988
41160,Clinton-Lake,2/1/22,1509.4,772.8,535,35419
41690,Cermak-McCormick Place,2/1/22,674.3,631.8,461,17857
41120,35-Bronzeville-IIT,2/1/22,803.3,516.5,368.3,19605
40300,Indiana,2/1/22,279.4,142,113.5,6609
41270,43rd,2/1/22,373.7,223.5,176,9071
41080,47th-South Elevated,2/1/22,401.4,240,201.8,9795
40130,51st,2/1/22,398.3,252,212.8,9824
40510,Garfield-South Elevated,2/1/22,441.3,319.5,253.3,11117
41140,King Drive,2/1/22,187.9,114.5,82,4543
40720,East 63rd-Cottage Grove,2/1/22,374.6,195.8,162,8923
40940,Halsted/63rd,2/1/22,193,122,88.3,4700
40290,Ashland/63rd,2/1/22,415.7,263,219.3,10243
41290,Kimball,2/1/22,1903.9,1239.5,840,46396
41180,Kedzie-Brown,2/1/22,905.3,646.8,442.3,22462
40870,Francisco,2/1/22,620.3,327.3,252.5,14724
41010,Rockwell,2/1/22,642.7,318.5,243,15100
41480,Western-Brown,2/1/22,1580.9,1033,728.3,38662
40090,Damen-Brown,2/1/22,1175.8,565.3,382.8,27307
41500,Montrose-Brown,2/1/22,940.1,575.3,415,22763
41460,Irving Park-Brown,2/1/22,1079.3,574.8,369.5,25362
41440,Addison-Brown,2/1/22,880.4,410.3,299.5,20446
41310,Paulina,2/1/22,1076.9,637,407.5,25715
40360,Southport,2/1/22,1226.4,1540.3,1159.3,35325
41210,Wellington,2/1/22,1206.3,552.8,379.8,27856
40530,Diversey,2/1/22,2126.6,1164.8,762,50238
40660,Armitage,2/1/22,1927.9,1078.3,754.8,45890
40800,Sedgwick,2/1/22,1637.9,1081.3,743.3,40056
40710,Chicago/Franklin,2/1/22,2574.9,1384.3,1022.3,61124
40460,Merchandise Mart,2/1/22,2137,950.5,604,48957
40930,Midway Airport,2/1/22,3459.8,1532,1317.3,80592
40960,Pulaski-Orange,2/1/22,2395.1,917,709.8,54409
41150,Kedzie-Midway,2/1/22,1743.4,843.8,624.5,40741
40310,Western-Orange,2/1/22,1726.5,849.3,669.5,40605
40120,35th/Archer,2/1/22,1303.6,573.3,434.8,30104
41060,Ashland-Orange,2/1/22,796.9,430.5,329,18976
41130,Halsted-Orange,2/1/22,1145.7,485.5,334.8,26195
40730,Washington/Wells,2/1/22,2488,521.3,408.3,53477
40040,Quincy/Wells,2/1/22,2143.2,692.8,584.3,47972
40160,LaSalle/Van Buren,2/1/22,927.3,305.3,223.3,20659
40850,Library,2/1/22,1986.3,864,616.5,45648
40680,Adams/Wabash,2/1/22,2898.9,1360.8,950.8,67224
